,"district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
0,208,1101,220920,Kunali,2760,26.4449926,86.76928869999999,26.459403,86.7931187,26.4353784,86.74798249999999
1,208,1101,220921,Kamalpur,2518,25.0348501,84.8111658,25.0389194,84.8197862,25.0295599,84.80569469999999
2,208,1101,220922,Harpur,224,25.4408945,84.05209339999999,25.4428483,84.0536928,25.4375777,84.0492297
3,208,1101,220923,Bathnaha,372,26.6400936,85.57632989999999,0.0,0.0,0.0,0.0
4,208,1101,220925,Dharhara,114,25.2564134,86.40227709999999,25.2614733,86.40828080000001,25.2493715,86.3983253
5,208,1101,220926,Banania,170,26.4166395,86.81952369999999,26.4277401,86.82763670000001,26.4091492,86.80256639999999
6,208,1101,220927,Repauli,127,26.4049596,86.8245443,26.4296094,86.836563,26.3929805,86.8150635
7,208,1101,220928,Dagmara,2868,26.4110807,86.7336546,26.4140145,86.7384943,26.4088134,86.73094979999999
8,208,1101,220929,Sikrahata,700,26.3762302,86.72654829999999,26.3910597,86.75668329999999,26.3537102,86.7033615
9,208,1101,220930,Dudhaila,329,25.3390598,86.8471308,25.3617572,86.86087789999999,25.3242663,86.825447
10,208,1101,220931,Dighia,785,26.3396983,86.6762176,26.3692493,86.7026976,26.3214398,86.6605302
11,208,1101,220932,Bela,1647,24.9694491,84.97351100000002,24.9747597,84.98207450000001,24.9616545,84.96470099999999
12,208,1101,220934,Raharia,120,26.301076,86.6636269,26.3089007,86.6736068,26.2930508,86.6551284
13,208,1101,220936,Majhari,1037,26.3119314,86.6233149,26.3235853,86.63266899999999,26.3010521,86.61050329999999
14,208,1101,220938,Lagunia,206,25.6140774,85.6319245,25.6160525,85.6365277,25.608715,85.62959289999999
15,208,1101,220939,Mahua,473,25.8147343,85.3969353,0.0,0.0,0.0,0.0
16,208,1101,220940,Hanriahi,682,26.3292665,86.6081894,26.3421912,86.6160393,26.3202099,86.5964055
17,208,1101,220941,Jarauli,725,24.6532356,85.50457109999999,24.6754932,85.5310593,24.6243876,85.4818726
18,208,1101,801302,Nirmali (NP),3841,26.1630329,86.5627851,26.1721192,86.5748826,26.1516608,86.5504991
19,208,1102,220942,Bhimnagar,1610,26.5124933,86.9586539,26.5163177,86.96807380000001,26.5033373,86.950693
20,208,1102,220943,Lalpur,759,26.228135,86.82956449999999,26.2374191,86.8406677,26.2170295,86.81326299999999
21,208,1102,220945,Fatehpur,341,26.4003205,84.25816950000001,26.4081681,84.2638063,26.392408,84.2552663
22,208,1102,220946,Basantpur,1137,26.1728331,84.664203,26.1789646,84.67148069999999,26.1681671,84.65576949999999
23,208,1102,220948,Barantpur,364,26.1728331,84.664203,26.1789646,84.67148069999999,26.1681671,84.65576949999999
24,208,1102,220949,Baijnathpur,271,25.8895549,86.6459335,0.0,0.0,0.0,0.0
25,208,1102,220950,Raghunathpur,132,25.5613615,84.3094955,25.5687696,84.3153303,25.5550624,84.29893779999999
26,208,1102,220951,Raniganj,195,26.0829771,87.23446419999999,26.0893175,87.24333290000001,26.0762507,87.22990039999999
27,208,1102,220952,Shibnagar,369,26.4199021,85.7999758,26.4274329,85.80816639999999,26.4111786,85.78204339999999
28,208,1102,220956,Panchpanduria,106,26.4629852,86.9173327,26.4730702,86.9383162,26.4486807,86.89582039999999
29,208,1102,220959,Piprahipatti Golari,478,26.4478705,86.89979180000002,26.46241,86.91208639999999,26.4318408,86.8863599
30,208,1102,220967,Narpat patti,394,26.4054019,86.8446218,26.4122505,86.8557967,26.3895206,86.8275831
31,208,1102,220968,Bahtunia urf Satan Patti,743,26.3878241,86.84963979999999,26.40279,86.8597487,26.3785494,86.8371811
32,208,1102,220969,Piprahigot,1005,26.4117369,86.8646909,26.4321993,86.8802566,26.3871096,86.8499066
33,208,1102,220970,Baijnathpur,224,25.8895549,86.6459335,0.0,0.0,0.0,0.0
34,208,1102,220971,Buchunoa,135,26.4377973,86.9110688,26.4443206,86.91782359999999,26.4303302,86.9051207
35,208,1102,220972,Dhena,181,25.4882219,87.7701045,0.0,0.0,0.0,0.0
36,208,1102,220973,Ratanpur,858,26.2907549,85.7363439,0.0,0.0,0.0,0.0
37,208,1102,220974,Bahorwa,519,27.1062614,84.3988806,27.1236857,84.41419959999999,27.094553,84.3925934
